Make,Model,Build Year,Engine Size,Transmission,Mileage [km],Fuel,Fuel efficiency,Price [EUR]
Audi,A5,2014,3,Semi-Auto,83880,Diesel,49.6,13998
Audi,A4,2015,2,Manual,62408,Diesel,55.4,15995
Audi,A1,2017,1.4,Manual,55597,Petrol,55.4,13495
Audi,Q5,2017,2,Semi-Auto,28161,Petrol,40.4,30985
Audi,TT,2019,2,Automatic,4827,Petrol,40.9,29485
Audi,A6,2015,2,Manual,55745,Diesel,61.4,16985
Audi,Q5,2017,2,Semi-Auto,28962,Diesel,56.5,26485
Audi,Q3,2018,1.4,Semi-Auto,27490,Petrol,47.9,23985
Audi,A1,2017,1.6,Manual,77499,Diesel,72.4,12485
Audi,Q5,2015,2,Semi-Auto,61819,Diesel,47.1,22485
Audi,A5,2015,2,Manual,75039,Diesel,61.4,16498
Audi,A3,2016,1.6,Manual,39369,Diesel,74.3,11998
Audi,Q5,2017,2,Automatic,47213,Diesel,47.1,24985
Audi,A3,2019,1.6,Manual,13594,Diesel,51.4,17985
Audi,A5,2017,2,Manual,55799,Diesel,65.7,20485
Audi,A3,2018,1,Semi-Auto,38391,Petrol,60.1,16985
Audi,A4,2018,3,Automatic,33803,Petrol,35.8,30985
Audi,A6,2019,2,Automatic,3027,Diesel,47.9,29985
Audi,A6,2019,2,Semi-Auto,1107,Diesel,47.9,27985
Audi,A6,2019,2,Automatic,2998,Diesel,47.9,30985
Audi,Q7,2020,3,Semi-Auto,16,Diesel,33.2,62985
Audi,RS6,2016,4,Semi-Auto,78921,Petrol,29.4,44985
Audi,A4,2019,2,Semi-Auto,1648,Petrol,38.7,28985
Audi,A4,2019,2,Semi-Auto,721,Petrol,39.8,24985
Audi,A4,2019,2,Semi-Auto,766,Petrol,39.2,26985
Audi,A7,2019,3,Automatic,8368,Diesel,38.7,39985
Audi,A3,2019,1.5,Semi-Auto,3263,Petrol,42.2,21985
Audi,A6,2019,3,Automatic,5215,Diesel,39.2,45485
Audi,Q5,2019,2,Automatic,571,Diesel,39.2,33985
Audi,A5,2019,2,Automatic,29,Petrol,39.8,28985
Audi,A3,2019,1.5,Automatic,5023,Petrol,41.5,29985
Audi,Q2,2019,1.5,Manual,1326,Petrol,40.9,28985
Audi,A6,2019,2,Semi-Auto,4523,Diesel,47.9,31985
Audi,A6,2019,2,Semi-Auto,43,Diesel,50.4,31985
Audi,A4,2019,2,Semi-Auto,6845,Petrol,38.2,29485
Audi,A1,2019,1,Semi-Auto,3623,Petrol,48.7,17985
Audi,Q2,2019,1.6,Automatic,5506,Diesel,47.9,20985
Audi,Q2,2019,1.6,Automatic,60,Diesel,47.9,23685
Audi,A4,2019,2,Semi-Auto,11744,Petrol,38.2,27985
Audi,Q2,2019,1.5,Semi-Auto,2275,Petrol,40.9,27985
Audi,Q5,2019,2,Automatic,8262,Diesel,38.2,36985
Audi,Q5,2019,2,Automatic,9693,Diesel,38.2,37985
Audi,Q5,2020,2,Semi-Auto,16,Petrol,32.1,37985
Audi,Q7,2019,3,Automatic,16,Diesel,33.2,49985
Audi,Q7,2019,3,Automatic,16,Diesel,33.2,59995
Audi,Q5,2020,2,Semi-Auto,16,Petrol,30.7,47895
Audi,A4,2020,2,Semi-Auto,16,Petrol,42.2,31985
Audi,Q7,2015,3,Automatic,76598,Diesel,47.9,29985
Audi,A1,2015,1.4,Semi-Auto,42840,Petrol,57.6,12485
